helpful,review,length,rating
1.0,best game ever amaze minecraft addict already level 45 almost game good strategy make bore always play make happy download app immediately sure love win epic battle troop barrack dark barrack watch trailer top tube thank supercell make hay day boom beach especially clash clans coc thank,47.0,3.0
1.0,good improvements next update put troop upgrade wall button go process,11.0,1.0
1.0,best mobile game listen noobs say farm dead take snip cause snip farm farm raid resources remove snip strategy,19.0,1.0
1.0,love love game make use mind creativity plz put update request loot clan castle search want attack random,18.0,3.0
1.0,addict issue app switch phone yesterday sign progress fun addict,10.0,5.0
1.0,perfect awesome game worth star totally addict nice animations eat less data work even slow internet connection love,18.0,2.0
1.0,think clash clans add private message upgrade graphics please,9.0,5.0
1.0,good mission game future defense help defense anyone,8.0,4.0
1.0,love game good play friend build clan together indonesian like game,11.0,3.0
1.0,know coc many update cp full storages update cp delete coc make acc coc update please dont update lsst update christmas season,22.0,3.0
1.0,game really cool please make pc version like windows 3d version go awesome please think,15.0,3.0
1.0,time killer update barrack nice one barrack ask troop train take much time,13.0,2.0
1.0,village wont load log use secondary account try login see primary account time select account connect button keep red without display confirmation screen try install latest note s7edge issue remain two machine spend monies lose village request support game set contact number time get clear answer supercell team,48.0,3.0
1.0,know would good suggestion would like easier way collect resources mine elixir collectors maybe button also resources really challenge gather sometimes hard get raid higher rank players go lower rank league farm _ great game get play long time,39.0,3.0
1.0,dear team please year old player wait great update could excite spend time upon game upgrade feel like need upgrade stuff also example device like 2gb ram 4gb rom sim provider enable 4g players need use data pack high range 3g workable coc humble request fix issue asap,48.0,3.0
1.0,actually game make addict stop play still minor problems like graphics dude 2018 make gta like graphics better troop build time dog make see reach please one thing love game anyone else oh yeah last thing tue cost gems please give lessmexpenses gems,43.0,2.0
1.0,make everyone huge amount fun like village citizens businesses like game clash royale similar character though give four star rat time take upgrade fricken take long time take hours second minutes long hours time days still like,37.0,2.0
1.0,supercell love clash clans clash royale still love game make suggestion guy add night time mode add new troop build lot troop card clash royale clash clans option choose loot choose clan castle treasury lastly clan battle tournaments think please thank make great game,44.0,2.0
1.0,game awesome find phone game half good also agree previous comment build time upgrade part game besides nothing better capitalize someone build important defense example inferno tower wizzie tower xbow ad giant bomb ya hoggin love new upgrade events wish add trooops royale like guard spear goblins fire spirit,49.0,2.0
1.0,really like game much think new things new update like use builders one build time would less important one builder bost gold gems keep events small troop spell like giant goblin lightning spell lower players would also fun events enjoy clone apps would attack friendly challenge thank think would awsome change fun play thank,54.0,2.0
1.0,really like game much think new things new update like use builders one build time would less important one builder bost gold gems keep events small troop spell like giant goblin lightning spell lower players would also fun events enjoy clone apps would attack friendly challenge thank think would awsome change fun play thank,54.0,1.0
1.0,love clash clans best game ever complaints wish clan tournments like clan war tournments clans also night time want village go dark night would cool would cool visit someones base tell wish every 24 hours could spin wheel get like loot trophies gems thx supercell best game ever,48.0,3.0
1.0,would really nice guy could add option add one builder single build update could take less time update eg take days update level 10 gold mine level 11 one builder add builder work time would reduce days specially take hell time update things pretty sure everyone play game would love option,51.0,1.0
1.0,love game crazy like everything small unsatisfaction regard latest modifications friendly challenge challenge base whole day make modifications usually use check base modify war do use please rectify like way else fully satisfy hope guy make clear issue,38.0,3.0
1.0,absolutely love game ive play years meet many great people reason give star ever loose internet connection middle battle thats cant log back right away finish attack pretty much loose ever army deploy even worst war attack love game always add new stuff guy fix guy would awesome,48.0,3.0
1.0,dear supercell please make build time little bite shorter people get bore dont know wait either way always make update make ur game excite fun probably add bomber clash royale bandit would cool supercell thank supercell,36.0,2.0
1.0,respect supercell team appreciate hard work game really game amaze also fix bug mention review another concern relate game possible see online players clan like green signal indicate player online right red signal player offline please give great update else game awesome word tremendous battle,45.0,2.0
1.0,love coc max play game great know ok within hardcore community undeniable go bite stale solid update need freshen everyone endgame players change balance accessible enjoyable majority level really hope shipwreck update come hit spot,35.0,3.0
1.0,game nice place 1st kill make hard remove hunt loot cant coop upgrade wall gonna see loot 300k upgrade pf wall 3m per wall see thats prob many player lose fire play kill good game game rule well do,40.0,1.0
1.0,tie update new phone nearly impossible probably easier start new account want put account tablet onto phone account phone onto tablet know easier end manage get account onto phone leave account phone live drawer never use know could contact support many options things like link google plus well google play automatic like put detail new device game find start,59.0,3.0
1.0,awesome game modifications like able chat friends person take part war allow leave clan atleast join clan return clan let give example guy join clan take donations leave sometime realise member opponent clan thank,34.0,3.0
1.0,supercell great job guy big fan coc player multiple account request interest thing previous bigest update friendly battle awesome humbly request friendly clan war concept big friend circle coc players different clans want real fight battle clans think supercell hope interest concept coc ever see thank guy,47.0,2.0
1.0,good game whatever guy make like electronic paradise suggestion lot people include never get gems try save take months know balance game could make gem collection easier would great thx redmadster,31.0,3.0
1.0,latest update christmas graphics become unclear zoom improvement plan please reduce spell brew time launch another spell factory reduce time upgrade reduce capacity dragon let 15 must able see active isnt still awesome one must able play game even lower compatible devices like gingerbread version,45.0,1.0
1.0,love game awesome things would like update first able donate resources gems also able add builders onto peoject order divide time leave also way convert different resources something like resource converter also good anle donatr heroes like donate barb king 15 capacity king die queen could worth 10 space warden 25 lastly way tell long someone offline like clash lord make easier,62.0,3.0
1.0,nice game everyone must play let tell may story start play game months back lose phn village dumb sync village google plus lose whole village builders sad download game write supercell guess get village back day guy thank supercel team love quick response,43.0,3.0
1.0,fun perfect game addict make easy begin get far let go accomplish also help different type players interact help lot come gameplay well do super cell wait go coc future thing wish different want stuff spend elixir try upgrade wall enough gold meanwhile crap load elixir anything,47.0,1.0
1.0,awesome game perfect people like want good game game make strategies base attack base others even make good defence one question would like ask supercell get free unlimited gems without pay money way hardwork app website please please please please tell,41.0,2.0
1.0,play game one year maxed xd need see night time village plzz think many card clash royale like see troosps clash clans cool bandit otherness card xd thank good game peace,31.0,2.0
1.0,love game would like ask things think would good idea think like storage hold gems like gold mine come like one gem every also wonder think add gold elixer donate feature clan members would love able help clan mat need help upgrade,42.0,1.0
1.0,please request play alone game townhall start townhall village become dark graphics every one playin coc please change graphics bildings troop next update please want play game alone lifetime hope read massege answer love coc,35.0,3.0
1.0,love game ideas new update think able boost build speed builder huts gems short period maybe two three hours also think add wall town hall 11 always feel like enough whenever edit base layout lastly think new update add better graphics attack,42.0,2.0
1.0,awesome gameplay things nicely balance passage time new upgrade want new clan perk add clan level 11 onwards hero must like goblin warrior dragon devil players could also get star probably btw nice work supercell,35.0,3.0
1.0,two weeks game quit load want start reinstall connect wifi different wi fi mobile connection still load gain years want work two months still change lucky load week happen supercell use fun game,33.0,1.0
1.0,love game play years wish could like special flag field year start play way know difference experience people buy gems would cool could bird fly around new goblin stories decorations like fountains statues also king queen could throne rather block sleep could option move tree stuffb grow field pay every time move also need base slot layouts,57.0,2.0
1.0,horrible company money customer care read concern copy paste response send game design fare reward will pay lot money lot good strategy game waste time one,26.0,1.0
1.0,love game ive play three years still every day dont like look air defenses graphics great absolutely love inclusion events like players think wall expensive think former elixir able use always new troop defenses spell awesome respect work take implement without bug keep great work coc team,47.0,3.0
1.0,honest want clan get big enough start clanwar loose battle cw care well another one read want clan full donation rate peep join youll get basic troop 6star barb archers maybe youre lucky something better join fbia players play game fun life,42.0,3.0
1.0,believe game awesome would even cooler offline mode also would make game easier make like gem collector like make gems would say like 200 gems hour upgrade earn upgrade name little big man clash shout clashers hope best plz try idea like dont,43.0,2.0
1.0,ya wonderful amaze game everyone want game graphics clear bad also pick graphics best game ever see world game time killer beat friends like things good friends make clan attack enemy go download please join caln clash mania ok bye wait next review,43.0,1.0
1.0,awesome game ever play player multiple account want give one suggestion clan leader kick anyone plz make tandridge improve level troop clan lvl,23.0,3.0
1.0,think clash clans incredibly well round game get stick find good clan get involve good game strategist especially clan war part would definitely recommend download stick even seem get slow also play years pay play play,36.0,2.0
1.0,team game play since last three years love game much want give suggestion update one thing coc mean select town hall give option move whole base move base plzzzzz,29.0,1.0
1.0,game wonderful game superb also love control everything personally think troop expend battle make kinda frustrate loose troop everyone build troop fast aside guy great job,26.0,2.0
1.0,everyone game devices one best game play mobile device everything perfect love graphics way everything cute aggressive addict one problem though add ways purchase gems instance mobile money would perfect,30.0,1.0
1.0,okay mean everything good addict though graphics could better maybe need newer troop royale pure clasher heart also please add israel flag decoration part jewish want put flag promise land clash base originalclash jewishclasher,34.0,2.0
1.0,awesome game never think mobile game gonna hook day night months play nine months call self semi pro game love new events system complaints far keep good work supercell,30.0,3.0
1.0,awesome game everyone one try atleast one need money everything game awesome,12.0,1.0
1.0,think might want fight friends agreement compare whose better try give option many people might like war instead unknown people,20.0,1.0
1.0,excellent game play six months still town halls level go wish take long build,14.0,1.0
1.0,best game ever make,4.0,4.0
1.0,slow events special offer make excite,6.0,4.0
1.0,love clash clans favorite app time constantly get better guy never let new update,14.0,1.0
1.0,much time gain resources new matchmaking system attack anyone every match opponent way league,14.0,1.0
1.0,love game play sound keep randomly go sure would nice get fix though,13.0,1.0
1.0,fun clean game reason give star long take weeks upgrade villages weapons take forever fun game spend money,18.0,1.0
1.0,fun addictive game play could play day please make upgrade build something cost lot gems thank really good game,19.0,3.0
1.0,new update horrible worth play would give star possible,9.0,5.0
1.0,still solid app great dev team constant patch fix well frequent additions update great time waster thing hate business model ya,21.0,2.0
1.0,love clash clans always game never fail appeal teens much closer many guy grade game war part culture one thing suggest option download replay camera roll thank much,28.0,1.0
1.0,fun game level everything become expensive level pay gems turn pay win game,13.0,1.0
1.0,play game friends start play want want start reset account clash royal implement yet,14.0,1.0
1.0,love game let get way play lot recently get new phone however account sync new phone completely restart account,19.0,2.0
1.0,unless spend serious money gems game longer good past year game push use gems never buy gems intend bye supercell,20.0,2.0
1.0,game absolutely fun ever play game supercell game great company game play mostly everyone see hopefully continue longer,18.0,2.0
1.0,good customer service,3.0,5.0
1.0,many top players cheaters hackers 200 successfull attack top players base billion steal gold simply impossible players clearly cheat care multiple top clans players exact base layout copy base third party application dont care cheaters absolutely nothing make clash royal fix match game joke pile shitzel,46.0,2.0
1.0,absolutely nothing cheaters refuse answer question delete intentionally program game loose intentionally pick players almost always win base ie max heroes attack base log players plus million steal dark elixir generally cheaters odds find 11 million dark elixir 4000 match absolutely ridiculous two billion gold steal 3200 match absolutely ridiculous absolutely nothing impracticable steal large amount resources simple dont care absolutely nothing send standard response game message refuse specifically respond delete question,72.0,1.0
1.0,intentionally want players loose allow players max heroes repeatedly match lower level players win base could program game allow,19.0,3.0
1.0,say base allow attack players log long lie multiple players clan stop play month ago yet base still get attack absolutely ridiculous,22.0,1.0
1.0,manipulate train absolutely ridiculous appal take three time long train troop barrack troop take 4x long train new train absolutely ridiculous absolute scam,23.0,1.0
1.0,load game work idk,4.0,5.0
1.0,play log game click biggie right wrong go back everything go contact help support person settings know nothing tell problem never get back days dont download app get addict like get delete disappoint,33.0,1.0
1.0,love game attack people online make village game great suggest get,11.0,2.0
1.0,could please add event list discount wall like 90 would great,11.0,3.0
1.0,extremely time consume game many friends try talk see appeal however start play build armies defenses town begin see appeal constant attack base players encourage strategy new think process keep base get defeat 10 10 definitely keep play,38.0,3.0
1.0,need add secret server game fun people school play want fun game get farther game unless spend hours raid add fine would better thank,24.0,2.0
1.0,champion league expect three star attack lose 30 trophies maxed 11 get attack 16 trophies opponents huge flaw game need fix also add goblin goblin base de,27.0,3.0
1.0,love game since 2012 back buddies would play high school recently download fun 14 year old plus do nice job expand feature keep fresh engage definitive must,27.0,1.0
1.0,wise market ploy open eye good game adults kid every sad update since end slowly go hill balance go game play go longer fun enjoyable cheesy eagle defense warden baby drag miner bowler fit slap think fact entire theme ugly squeeze every cent game update new level people spend cash max base nothing balance game continue people stop spend loot cart come dump barrack train one barrack boost 30gems dump barrack need let train spell boost 10 gems many ways profit price reduction wall king queen defense pathetic smack face long time players game play control supercell childish kid girls boys ask fb kik etc exchange picture game go hill turn like game fool keep spend far butt blind crap,120.0,1.0
1.0,app worth star game love game much anyone want build tiny city defend real time players download app one problem lack type bug issue every time join game play freeze lag open keep please fix issue,36.0,3.0
1.0,one thing sure great game request need another opportunity change name want different name cause mine bad also shorten upgrade cause take long,23.0,2.0
0.0,good,1.0,5.0
0.0,addictive,1.0,5.0
1.0,use play clash clans android transfer account iphone say transfer town hall lvl,13.0,3.0
1.0,awesome game game play phone definitely help get day please ever take server,13.0,1.0
1.0,bad customer service,3.0,5.0
1.0,know go able stop play game,6.0,4.0
1.0,years generally good game thing build take little long builder wall unnecessary good,13.0,2.0
1.0,must make game less fun limit game play time evil bring end civilization know,14.0,2.0
1.0,old matchmaking algorithm good exist randomly match players within league would fine advent farm town hall snip somthing do challenge move league strategically superior better base army anymore instead match base town hall league suppose natural selection aspect match players town halls always could crystal lvl fix much make almost bad snip weak weed higher league fix whole lot,59.0,3.0
1.0,addict fun game love strategies involve,6.0,5.0
0.0,best app game time,4.0,5.0
1.0,good game problem need fix annoy fault get attack often,10.0,4.0
0.0,fun play,2.0,4.0
0.0,try upgrade plus play really,5.0,5.0
0.0,best game ever,3.0,5.0
1.0,great game love thing hate build time get higher level like week upgrade something ridiculous,15.0,2.0
0.0,good game,2.0,4.0
0.0,best,1.0,4.0
0.0,great game,2.0,5.0
1.0,game fantastic play time check time day collect resources raid hate one thing get lot gold lot time use upgrade elixir collectors use elixir upgrade troop gold mine want upgrade wall gold super high draw lot attention builders use moment extremely infuriate wall take time upgrade literally annoy decision wait possibly lose lot gold elixir much attract someone pay gems speed upgrade usually worth later skip upgrade time almost 500 gems astronomical amount,73.0,2.0
1.0,play years really great app buy gems really fun get good base really fun addict game highly suggest look game entertain years,22.0,3.0
0.0,everything fine game,3.0,5.0
0.0,fun good would play forever,5.0,5.0
1.0,clash clans awesome game make app purchase order become good build village pace fantastic balance great overall game however would like see new feature soon game become little repetitive play would awesome huge update like clan war update new hero update back day game would even better right consider get game definitely thank,53.0,1.0
0.0,love game addict fun,4.0,4.0
0.0,need assistance link coc account android iphone etc say minor problems great game li,14.0,2.0
1.0,game fun sometimes difficult remove star long wait way skip pay overall great game,14.0,1.0
0.0,delete data want start,4.0,5.0
1.0,game great could somebody want people say lot addictive fun thank make game keep clash,15.0,3.0
0.0,great,1.0,4.0
0.0,2099 greatest game world,4.0,5.0
0.0,love,1.0,4.0
0.0,fun,1.0,4.0
0.0,clash clans forever favorite app,5.0,5.0
0.0,boom,1.0,5.0
0.0,great game love sound keep go,6.0,4.0
0.0,best game ever,3.0,5.0
0.0,pretty good,2.0,4.0
0.0,good game,2.0,4.0
0.0,awesomeness,1.0,4.0
0.0,good game,2.0,4.0
0.0,horrible update waste time,4.0,5.0
0.0,still enjoyable,2.0,5.0
0.0,download attack replay,3.0,5.0
0.0,fun game play years,4.0,4.0
0.0,game need let players reset,5.0,4.0
0.0,fun new phone,3.0,4.0
0.0,julio,1.0,5.0
0.0,amaze,1.0,4.0
0.0,ball,1.0,4.0
0.0,fun anymore,2.0,4.0
0.0,best game app store couldnt better,6.0,4.0
0.0,fun,1.0,5.0
0.0,good service,2.0,5.0
1.0,update terrible hackers riddle game,5.0,5.0
0.0,favorite game,2.0,4.0
0.0,awful game,2.0,5.0
0.0,game great,2.0,5.0
0.0,crazy,1.0,5.0
0.0,best game play phone,4.0,4.0
0.0,like,1.0,5.0
0.0,fun,1.0,4.0
0.0,keep,1.0,5.0
0.0,game open,2.0,5.0
0.0,delete whole game,3.0,5.0
0.0,best game ever,3.0,5.0
0.0,addict fun,2.0,5.0
0.0,add event,2.0,4.0
0.0,pretty fun game,3.0,4.0
0.0,highly addictive,2.0,5.0
0.0,best game,2.0,4.0
0.0,thank lot,2.0,4.0
0.0,great game,2.0,5.0
0.0,add secret server,3.0,5.0
0.0,trophies,1.0,5.0
0.0,great game,2.0,5.0
0.0,best ever,2.0,4.0
0.0,addict entertain,2.0,4.0
0.0,10 10,2.0,4.0
0.0,wish could put million star,5.0,5.0
0.0,advice uninstall,2.0,4.0
0.0,great game,2.0,4.0
0.0,amaze,1.0,4.0
0.0,awesome,1.0,5.0
0.0,hookem,1.0,5.0
0.0,best phone game ever,4.0,4.0
0.0,amaze,1.0,4.0
0.0,great game need,3.0,5.0
0.0,soooo good,2.0,4.0
0.0,good,1.0,5.0
0.0,excellent game,2.0,4.0
0.0,wow,1.0,5.0
0.0,good game one problem,4.0,4.0
0.0,clash clans,2.0,4.0
0.0,game,1.0,5.0
0.0,disappoint,1.0,5.0
0.0,heaven,1.0,4.0
0.0,fun,1.0,5.0
0.0,events,1.0,4.0
0.0,always,1.0,5.0
0.0,good game,2.0,5.0
0.0,addict,1.0,4.0
1.0,bring back old matchmaking algorithm,5.0,5.0
0.0,app amaze,2.0,4.0
0.0,fun,1.0,5.0
0.0,love game,2.0,4.0
0.0,best ever,2.0,5.0
0.0,good game,2.0,4.0
0.0,upgrade go,2.0,5.0
0.0,clash clans,2.0,5.0
0.0,great game,2.0,4.0
0.0,nice,1.0,4.0
0.0,best game world,3.0,5.0
0.0,dope,1.0,4.0
0.0,wall upgrade,2.0,4.0
0.0,great app,2.0,5.0
0.0,awesome,1.0,4.0
0.0,cool game,2.0,5.0
0.0,great game change need,4.0,5.0
0.0,best game ever,3.0,5.0
0.0,much fun,2.0,5.0
0.0,annoy,1.0,5.0
0.0,best game ever,3.0,5.0
0.0,great,1.0,5.0
0.0,great game 2099,3.0,4.0
0.0,great game,2.0,5.0
